"","epi_ctry","epi_subj","question","response","question_text"
"1","China",20472,"epi_2_02",1,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"2","China",20471,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"3","China",20468,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"4","China",20467,"epi_2_02",1,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"5","China",20464,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"6","China",20463,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"7","China",20460,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"8","China",20459,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"9","China",20461,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"10","China",20465,"epi_2_02",NA,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"11","China",20466,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"12","China",20469,"epi_2_02",NA,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"13","China",20470,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"14","China",20403,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"15","China",20404,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"16","China",20407,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"17","China",20408,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"18","China",20411,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"19","China",20412,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"20","China",20415,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"21","China",20416,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"22","China",20419,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"23","China",20420,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"24","China",20423,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"25","China",20424,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"26","China",20427,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"27","China",20428,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"28","China",20431,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"29","China",20432,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"30","China",20435,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"31","China",20436,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"32","China",20439,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"33","China",20440,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"34","China",20443,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"35","China",20447,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"36","China",20448,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"37","China",20451,"epi_2_02",0.5,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"38","China",20452,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"39","China",20455,"epi_2_02",1,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"40","China",20456,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"41","China",20560,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"42","China",20444,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"43","China",20462,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"44","China",20401,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"45","China",20402,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"46","China",20405,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"47","China",20406,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"48","China",20409,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"49","China",20410,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"50","China",20413,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"51","China",20414,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"52","China",20417,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"53","China",20418,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"54","China",20421,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"55","China",20422,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"56","China",20425,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"57","China",20426,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"58","China",20429,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"59","China",20430,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"60","China",20433,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"61","China",20434,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"62","China",20437,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"63","China",20438,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"64","China",20441,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"65","China",20442,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"66","China",20445,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"67","China",20446,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"68","China",20449,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"69","China",20450,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"70","China",20453,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"71","China",20454,"epi_2_02",1,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"72","China",20473,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"73","China",20474,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
"74","China",20457,"epi_2_02",0,"2. Some people say that the divine or supernatural sends them dreams. Has that happened to you?"
